Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Valor bruto;Valor por m2;Valor bruto por m2;Tipo agrupado
Casa;Los Olivos;6;1;0;380;2000.0;0.0;2320.0;5.26;6.11;Casa
Casa;Pucusana;3;3;1;400;6000.0;0.0;6000.0;15.0;15.0;Casa
Casa;Lince;4;0;1;366;1890.0;0.0;2098.0;5.16;5.73;Casa
Casa;Santiago de Surco;4;1;2;320;20000.0;0.0;20423.0;62.5;63.82;Casa
Casa;Ate;2;2;0;155;1200.0;0.0;1200.0;7.74;7.74;Casa
Casa;Pucusana;5;4;0;380;8000.0;0.0;8269.0;21.05;21.76;Casa
Casa;Ate;5;3;5;776;20000.0;2130.0;42130.0;25.77;54.29;Casa
Casa;Ate;4;3;4;700;16000.0;2140.0;19840.0;22.86;28.34;Casa
Casa;El Agustino;1;0;0;35;700.0;0.0;700.0;20.0;20.0;Casa
Casa;San Juan de Miraflores;2;1;0;50;700.0;200.0;900.0;14.0;18.0;Casa
Casa;Mi Perú;7;2;1;268;3300.0;0.0;3730.0;12.31;13.92;Casa
Casa;El Agustino;1;0;0;45;850.0;0.0;850.0;18.89;18.89;Casa
Casa;Lince;4;0;0;159;1800.0;0.0;1800.0;11.32;11.32;Casa
Casa;Lince;3;1;3;114;1500.0;0.0;1500.0;13.16;13.16;Casa
Casa;Lince;4;0;2;324;3000.0;0.0;3000.0;9.26;9.26;Casa
Casa;San Miguel;2;0;0;52;950.0;100.0;1061.0;18.27;20.4;Casa
Casa;Jesús María;5;3;5;400;12000.0;0.0;14200.0;30.0;35.5;Casa
Casa;Callao;2;0;0;150;3300.0;0.0;4160.0;22.0;27.73;Casa
Casa;Cieneguilla;4;1;0;99;1800.0;0.0;1800.0;18.18;18.18;Casa
Casa;Mi Perú;2;0;0;115;1200.0;0.0;1200.0;10.43;10.43;Casa
Casa;Chorrillos;2;0;0;60;850.0;0.0;863.0;14.17;14.38;Casa
Casa;San Isidro;1;0;0;30;1100.0;0.0;1100.0;36.67;36.67;Casa
Casa;Lince;2;1;0;91;1200.0;0.0;1200.0;13.19;13.19;Casa
Casa;Ate;2;0;2;74;1850.0;0.0;2012.0;25.0;27.19;Casa
Casa;La Punta;1;0;0;40;550.0;0.0;550.0;13.75;13.75;Casa
Casa;Santiago de Surco;1;1;0;60;700.0;0.0;700.0;11.67;11.67;Casa
Casa;San Miguel;1;0;0;40;1000.0;0.0;1017.0;25.0;25.42;Casa
Casa;La Perla;2;2;0;70;950.0;0.0;950.0;13.57;13.57;Casa
Casa;Lince;4;1;3;100;1600.0;0.0;1600.0;16.0;16.0;Casa
Casa;San Juan de Lurigancho;4;3;1;379;15000.0;1200.0;16200.0;39.58;42.74;Casa
Casa;Ate;3;0;1;128;1500.0;0.0;1545.0;11.72;12.07;Casa
Casa;Ancón;3;2;0;100;1450.0;0.0;1450.0;14.5;14.5;Casa
Casa;Ate;5;8;5;640;18000.0;950.0;36950.0;28.12;57.73;Casa
Casa;Lince;2;1;0;70;650.0;0.0;650.0;9.29;9.29;Casa
Casa;Lima;1;0;0;60;1000.0;0.0;1000.0;16.67;16.67;Casa
Casa;Los Olivos;2;1;0;52;850.0;0.0;850.0;16.35;16.35;Casa
Casa;Lurigancho;4;1;2;500;15000.0;0.0;15500.0;30.0;31.0;Casa
Casa;Ate;5;6;0;400;20000.0;0.0;20590.0;50.0;51.48;Casa
Casa;Lince;2;0;0;60;700.0;0.0;700.0;11.67;11.67;Casa
Casa;Lurigancho;4;4;1;465;12000.0;880.0;14430.0;25.81;31.03;Casa
Casa;Mi Perú;4;5;1;270;4800.0;0.0;7100.0;17.78;26.3;Casa
Casa;Mi Perú;3;1;2;93;2000.0;0.0;2000.0;21.51;21.51;Casa
Casa;San Luis;3;3;1;308;3500.0;0.0;5935.0;11.36;19.27;Casa
Casa;San Miguel;2;1;0;72;1400.0;0.0;1434.0;19.44;19.92;Casa
Casa;Pucusana;5;2;4;595;10000.0;0.0;10000.0;16.81;16.81;Casa
Casa;San Martín de Porres;1;0;0;45;700.0;0.0;700.0;15.56;15.56;Casa
Casa;Ventanilla;2;0;0;70;2000.0;0.0;2000.0;28.57;28.57;Casa
Casa;Lince;2;1;0;90;1200.0;0.0;1200.0;13.33;13.33;Casa
Casa;Carabayllo;3;3;0;70;2000.0;0.0;2000.0;28.57;28.57;Casa
Casa;Santa Anita;1;0;0;50;900.0;0.0;914.0;18.0;18.28;Casa
Casa;Villa El Salvador;5;1;2;400;4200.0;50.0;4250.0;10.5;10.62;Casa
Casa;Lince;1;0;0;70;700.0;0.0;700.0;10.0;10.0;Casa
